collection_date,variant_id,allpos_count
2021-08-11,Gamma,5
2021-08-11,Mu,9
2021-08-11,Other variant,474
2021-08-11,Zeta,3
2021-08-12,Alpha,9
2021-08-12,Delta,3913
2021-08-12,Gamma,4
2021-08-12,Lambda,1
2021-08-12,Mu,8
2021-08-12,Omicron,2
2021-08-12,Other variant,494
2021-08-12,Zeta,2
2021-08-13,Alpha,10
2021-08-13,Delta,3327
2021-08-13,Gamma,4
2021-08-13,Mu,7
2021-08-13,Other variant,640
2021-08-14,Alpha,3
2021-08-14,Beta,1
2021-08-14,Delta,2863
2021-08-14,Gamma,1
2021-08-14,Iota (E484K),1
2021-08-14,Mu,5
2021-08-14,Other variant,379
2021-08-15,Alpha,1
2021-08-15,Delta,2101
2021-08-15,Gamma,1
2021-08-15,Mu,3
2021-08-15,Other variant,257
2021-08-16,Alpha,8
2021-08-16,Delta,4637
2021-08-16,Gamma,8
2021-08-16,Iota (S477N),1
2021-08-16,Lambda,1
2021-08-16,Mu,2
2021-08-16,Other variant,843
2021-08-17,Alpha,8
2021-08-17,Delta,3814
2021-08-17,Gamma,6
2021-08-17,Mu,4
2021-08-17,Other variant,819
2021-08-18,Alpha,5
2021-08-18,Delta,2828
2021-08-18,Gamma,2
2021-08-18,Mu,4
2021-08-18,Other variant,389
2021-08-19,Alpha,1
2021-08-19,Beta,1
2021-08-19,Delta,2437
2021-08-19,Gamma,2
2021-08-19,Lambda,1
2021-08-19,Mu,5
2021-08-19,Other variant,603
2021-08-20,Alpha,6
2021-08-20,Delta,3568
2021-08-20,Gamma,9
2021-08-20,Mu,6
2021-08-20,Other variant,630
2021-08-20,Zeta,1
2021-08-21,Alpha,1
2021-08-21,Delta,2525
2021-08-21,Epsilon,61
2021-08-21,Gamma,2
2021-08-21,Mu,1
2021-08-21,Other variant,519
2021-08-21,Zeta,1
2021-08-22,Alpha,1
2021-08-22,Delta,2350
2021-08-22,Gamma,1
2021-08-22,Other variant,174
2021-08-23,Alpha,5
2021-08-23,Delta,4352
2021-08-23,Mu,1
2021-08-23,Other variant,217
2021-08-23,Zeta,1
2021-08-24,Alpha,2
2021-08-24,Beta,1
2021-08-24,Delta,5026
2021-08-24,Gamma,3
2021-08-24,Mu,4
2021-08-24,Other variant,217
2021-08-25,Alpha,1
2021-08-25,Delta,4148
2021-08-25,Gamma,6
2021-08-25,Lambda,1
2021-08-25,Mu,8
2021-08-25,Other variant,299
2021-08-26,Alpha,2
2021-08-26,Delta,5044
2021-08-26,Gamma,7
2021-08-26,Mu,3
2021-08-26,Other variant,388
2021-08-26,Zeta,1
2021-08-27,Alpha,3
2021-08-27,Delta,4649
2021-08-27,Gamma,2
2021-08-27,Mu,5
2021-08-27,Other variant,556
2021-08-27,Zeta,3
2021-08-28,Delta,2883
2021-08-28,Gamma,1
2021-08-28,Mu,2
2021-08-28,Other variant,388
2021-08-29,Alpha,2
2021-08-29,Delta,2395
2021-08-29,Other variant,251
2021-08-30,Alpha,4
2021-08-30,Beta,1
2021-08-30,Delta,5901
2021-08-30,Gamma,4
2021-08-30,Mu,1
2021-08-30,Other variant,774
2021-08-31,Alpha,6
2021-08-31,Delta,7114
2021-08-31,Gamma,1
2021-08-31,Mu,2
2021-08-31,Other variant,877
2021-08-31,Zeta,1
2021-09-01,Alpha,4
2021-09-01,Delta,5567
2021-09-01,Gamma,5
2021-09-01,Mu,3
2021-09-01,Omicron,1
2021-09-01,Other variant,584
2021-09-02,Alpha,4
2021-09-02,Delta,5518
2021-09-02,Gamma,2
2021-09-02,Iota (S477N),1
2021-09-02,Lambda,1
2021-09-02,Mu,7
2021-09-02,Omicron,1
2021-09-02,Other variant,403
2021-09-03,Alpha,2
2021-09-03,Delta,4518
2021-09-03,Gamma,1
2021-09-03,Lambda,2
2021-09-03,Mu,2
2021-09-03,Other variant,408
2021-09-03,Zeta,1
2021-09-04,Alpha,2
2021-09-04,Delta,3310
2021-09-04,Gamma,2
2021-09-04,Mu,2
2021-09-04,Other variant,478
2021-09-04,Zeta,1
2021-09-05,Delta,3542
2021-09-05,Gamma,1
2021-09-05,Mu,1
2021-09-05,Other variant,279
2021-09-06,Alpha,3
2021-09-06,Delta,3024
2021-09-06,Gamma,1
2021-09-06,Other variant,648
2021-09-07,Alpha,2
2021-09-07,Delta,7555
2021-09-07,Gamma,1
2021-09-07,Mu,4
2021-09-07,Other variant,1079
2021-09-08,Alpha,1
2021-09-08,Delta,6848
2021-09-08,Gamma,3
2021-09-08,Mu,1
2021-09-08,Other variant,715
2021-09-08,Zeta,2
2021-09-09,Alpha,2
2021-09-09,Beta,1
2021-09-09,Delta,6768
2021-09-09,Gamma,3
2021-09-09,Mu,1
2021-09-09,Other variant,685
2021-09-10,Alpha,1
2021-09-10,Delta,6392
2021-09-10,Gamma,1
2021-09-10,Mu,2
2021-09-10,Other variant,458
2021-09-11,Alpha,1
2021-09-11,Delta,4289
2021-09-11,Mu,3
2021-09-11,Other variant,361
2021-09-12,Delta,4621
2021-09-12,Mu,1
2021-09-12,Other variant,166
2021-09-13,Alpha,4
2021-09-13,Delta,7339
2021-09-13,Gamma,2
2021-09-13,Mu,1
2021-09-13,Other variant,783
2021-09-13,Zeta,1
2021-09-14,Delta,6144
2021-09-14,Epsilon,67
2021-09-14,Other variant,729
2021-09-15,Alpha,1
2021-09-15,Delta,5903
2021-09-15,Mu,2
2021-09-15,Other variant,688
2021-09-16,Alpha,2
2021-09-16,Delta,6422
2021-09-16,Gamma,1
2021-09-16,Mu,2
2021-09-16,Other variant,541
2021-09-17,Alpha,2
2021-09-17,Delta,6841
2021-09-17,Mu,1
2021-09-17,Other variant,552
2021-09-18,Alpha,1
2021-09-18,Delta,4688
2021-09-18,Gamma,1
2021-09-18,Mu,1
2021-09-18,Other variant,395
2021-09-19,Alpha,1
2021-09-19,Delta,4673
2021-09-19,Gamma,3
2021-09-19,Mu,3
2021-09-19,Other variant,353
2021-09-19,Zeta,2
2021-09-20,Delta,7822
2021-09-20,Mu,5
2021-09-20,Other variant,842
2021-09-20,Zeta,1
2021-09-21,Alpha,2
2021-09-21,Delta,6607
2021-09-21,Gamma,2
2021-09-21,Mu,3
2021-09-21,Other variant,737
2021-09-22,Alpha,1
2021-09-22,Delta,5194
2021-09-22,Mu,1
2021-09-22,Other variant,640
2021-09-23,Delta,5317
2021-09-23,Gamma,2
2021-09-23,Mu,2
2021-09-23,Other variant,673
2021-09-24,Alpha,3
2021-09-24,Delta,5401
2021-09-24,Gamma,1
2021-09-24,Mu,2
2021-09-24,Other variant,654
2021-09-25,Delta,3534
2021-09-25,Lambda,1
2021-09-25,Other variant,382
2021-09-26,Delta,3899
2021-09-26,Mu,1
2021-09-26,Other variant,299
2021-09-26,Zeta,1
2021-09-27,Alpha,1
2021-09-27,Delta,7098
2021-09-27,Gamma,1
2021-09-27,Other variant,804
2021-09-28,Delta,6028
2021-09-28,Gamma,4
2021-09-28,Other variant,697
2021-09-28,Zeta,1
2021-09-29,Delta,6221
2021-09-29,Gamma,1
2021-09-29,Iota (S477N),1
2021-09-29,Mu,2
2021-09-29,Other variant,567
2021-09-30,Delta,5474
2021-09-30,Gamma,1
2021-09-30,Mu,1
2021-09-30,Other variant,396
2021-10-01,Delta,4561
2021-10-01,Gamma,1
2021-10-01,Mu,1
2021-10-01,Other variant,345
2021-10-02,Delta,2670
2021-10-02,Gamma,1
2021-10-02,Other variant,205
2021-10-03,Delta,2664
2021-10-03,Other variant,167
2021-10-04,Delta,5243
2021-10-04,Gamma,2
2021-10-04,Other variant,404
2021-10-05,Delta,5717
2021-10-05,Gamma,2
2021-10-05,Other variant,350
2021-10-06,Delta,5420
2021-10-06,Mu,2
2021-10-06,Other variant,287
2021-10-07,Delta,6220
2021-10-07,Iota (S477N),1
2021-10-07,Other variant,187
2021-10-08,Alpha,1
2021-10-08,Delta,4705
2021-10-08,Other variant,211
2021-10-09,Delta,3993
2021-10-09,Mu,1
2021-10-09,Other variant,136
2021-10-10,Delta,3956
2021-10-10,Gamma,1
2021-10-10,Mu,1
2021-10-10,Other variant,139
2021-10-11,Delta,6982
2021-10-11,Mu,1
2021-10-11,Other variant,361
2021-10-11,Zeta,1
2021-10-12,Delta,6482
2021-10-12,Mu,1
2021-10-12,Other variant,290
2021-10-13,Beta,2
2021-10-13,Delta,5374
2021-10-13,Other variant,295
2021-10-14,Delta,5795
2021-10-14,Gamma,1
2021-10-14,Mu,1
2021-10-14,Other variant,328
2021-10-15,Delta,5317
2021-10-15,Mu,1
2021-10-15,Other variant,300
2021-10-16,Delta,3600
2021-10-16,Other variant,186
2021-10-17,Delta,2986
2021-10-17,Gamma,2
2021-10-17,Other variant,177
2021-10-18,Alpha,1
2021-10-18,Delta,8086
2021-10-18,Other variant,326
2021-10-19,Delta,6857
2021-10-19,Other variant,311
2021-10-20,Beta,1
2021-10-20,Delta,5557
2021-10-20,Other variant,268
2021-10-21,Delta,4196
2021-10-21,Other variant,245
2021-10-22,Delta,3662
2021-10-22,Other variant,221
2021-10-23,Delta,2549
2021-10-23,Other variant,172
2021-10-24,Delta,1981
2021-10-24,Other variant,207
2021-10-25,Delta,4294
2021-10-25,Mu,2
2021-10-25,Other variant,220
2021-10-26,Alpha,1
2021-10-26,Delta,3425
2021-10-26,Other variant,221
2021-10-27,Delta,2591
2021-10-27,Other variant,199
2021-10-28,Alpha,1
2021-10-28,Delta,2885
2021-10-28,Gamma,1
2021-10-28,Other variant,188
2021-10-29,Delta,2244
2021-10-29,Omicron,1
2021-10-29,Other variant,184
2021-10-30,Delta,2314
2021-10-30,Omicron,1
2021-10-30,Other variant,159
2021-10-31,Delta,2725
2021-10-31,Other variant,142
2021-11-01,Alpha,1
2021-11-01,Delta,5064
2021-11-01,Other variant,246
2021-11-02,Delta,3642
2021-11-02,Other variant,203
2021-11-03,Beta,1
2021-11-03,Delta,2445
2021-11-03,Other variant,86
2021-11-04,Delta,2207
2021-11-04,Other variant,101
2021-11-05,Delta,1667
2021-11-05,Other variant,103
2021-11-06,Delta,1109
2021-11-06,Other variant,80
2021-11-07,Delta,972
2021-11-07,Other variant,73
2021-11-08,Delta,2262
2021-11-08,Other variant,96
2021-11-09,Delta,2217
2021-11-09,Other variant,94
2021-11-10,Delta,2274
2021-11-10,Other variant,82
2021-11-11,Delta,1645
2021-11-11,Other variant,94
2021-11-12,Delta,1997
2021-11-12,Other variant,97
2021-11-13,Delta,1433
2021-11-13,Omicron,4
2021-11-13,Other variant,93
2021-11-14,Delta,889
2021-11-14,Omicron,2
2021-11-14,Other variant,95
2021-11-15,Delta,2515
2021-11-15,Omicron,6
2021-11-15,Other variant,188
2021-11-16,Delta,2186
2021-11-16,Omicron,39
2021-11-16,Other variant,160
2021-11-17,Delta,1783
2021-11-17,Omicron,18
2021-11-17,Other variant,184
2021-11-18,Delta,1887
2021-11-18,Omicron,4
2021-11-18,Other variant,112
2021-11-19,Delta,1662
2021-11-19,Omicron,21
2021-11-19,Other variant,125
2021-11-20,Delta,903
2021-11-20,Omicron,13
2021-11-20,Other variant,55
2021-11-21,Delta,1162
2021-11-21,Omicron,2
2021-11-21,Other variant,70
2021-11-22,Delta,2012
2021-11-22,Omicron,22
2021-11-22,Other variant,145
2021-11-23,Delta,1297
2021-11-23,Mu,1
2021-11-23,Omicron,13
2021-11-23,Other variant,135
2021-11-24,Delta,898
2021-11-24,Mu,1
2021-11-24,Omicron,25
2021-11-24,Other variant,146
2021-11-25,Delta,469
2021-11-25,Omicron,18
2021-11-25,Other variant,74
2021-11-26,Delta,830
2021-11-26,Omicron,5
2021-11-26,Other variant,124
2021-11-27,Delta,1084
2021-11-27,Omicron,3
2021-11-27,Other variant,98
2021-11-28,Delta,966
2021-11-28,Omicron,2
2021-11-28,Other variant,103
2021-11-29,Delta,2949
2021-11-29,Omicron,57
2021-11-29,Other variant,176
2021-11-30,Delta,3691
2021-11-30,Omicron,58
2021-11-30,Other variant,234
2021-11-30,Zeta,1
2021-12-01,Delta,2626
2021-12-01,Omicron,107
2021-12-01,Other variant,313
2021-12-02,Beta,1
2021-12-02,Delta,2303
2021-12-02,Omicron,19
2021-12-02,Other variant,176
2021-12-03,Delta,2157
2021-12-03,Omicron,36
2021-12-03,Other variant,236
2021-12-04,Delta,1455
2021-12-04,Omicron,9
2021-12-04,Other variant,128
2021-12-05,Delta,1163
2021-12-05,Omicron,7
2021-12-05,Other variant,106
2021-12-06,Delta,3315
2021-12-06,Omicron,39
2021-12-06,Other variant,252
2021-12-07,Delta,2674
2021-12-07,Iota,1
2021-12-07,Omicron,48
2021-12-07,Other variant,306
2021-12-08,Delta,2313
2021-12-08,Omicron,38
2021-12-08,Other variant,331
2021-12-09,Delta,1830
2021-12-09,Omicron,51
2021-12-09,Other variant,370
2021-12-10,Delta,1683
2021-12-10,Omicron,68
2021-12-10,Other variant,366
2021-12-11,Delta,923
2021-12-11,Omicron,50
2021-12-11,Other variant,207
2021-12-12,Delta,843
2021-12-12,Omicron,19
2021-12-12,Other variant,224
2021-12-13,Delta,1533
2021-12-13,Omicron,117
2021-12-13,Other variant,552
2021-12-14,Delta,2245
2021-12-14,Omicron,543
2021-12-14,Other variant,797
2021-12-15,Delta,1317
2021-12-15,Omicron,264
2021-12-15,Other variant,1040
2021-12-16,Delta,865
2021-12-16,Omicron,218
2021-12-16,Other variant,965
2021-12-17,Delta,966
2021-12-17,Omicron,300
2021-12-17,Other variant,1013
2021-12-18,Delta,486
2021-12-18,Omicron,221
2021-12-18,Other variant,707
2021-12-19,Delta,416
2021-12-19,Omicron,310
2021-12-19,Other variant,684
2021-12-20,Delta,728
2021-12-20,Omicron,248
2021-12-20,Other variant,1122
2021-12-21,Delta,810
2021-12-21,Omicron,324
2021-12-21,Other variant,1554
2021-12-22,Delta,555
2021-12-22,Omicron,381
2021-12-22,Other variant,1583
2021-12-23,Delta,374
2021-12-23,Omicron,318
2021-12-23,Other variant,1220
2021-12-24,Delta,119
2021-12-24,Omicron,228
2021-12-24,Other variant,471
2021-12-25,Delta,53
2021-12-25,Omicron,99
2021-12-25,Other variant,218
2021-12-26,Delta,309
2021-12-26,Omicron,415
2021-12-26,Other variant,1284
2021-12-27,Delta,505
2021-12-27,Omicron,642
2021-12-27,Other variant,2739
2021-12-28,Beta,1
2021-12-28,Delta,334
2021-12-28,Omicron,769
2021-12-28,Other variant,2507
2021-12-29,Delta,243
2021-12-29,Omicron,444
2021-12-29,Other variant,3124
2021-12-30,Delta,192
2021-12-30,Omicron,520
2021-12-30,Other variant,2651
2021-12-31,Delta,73
2021-12-31,Omicron,240
2021-12-31,Other variant,935
2022-01-01,Delta,104
2022-01-01,Omicron,441
2022-01-01,Other variant,1833
2022-01-02,Delta,97
2022-01-02,Omicron,619
2022-01-02,Other variant,1427
2022-01-03,Delta,234
2022-01-03,Omicron,584
2022-01-03,Other variant,3066
2022-01-04,Delta,215
2022-01-04,Omicron,1352
2022-01-04,Other variant,3058
2022-01-05,Delta,115
2022-01-05,Omicron,628
2022-01-05,Other variant,1778
2022-01-06,Delta,118
2022-01-06,Omicron,747
2022-01-06,Other variant,2134
2022-01-07,Delta,71
2022-01-07,Omicron,533
2022-01-07,Other variant,2108
2022-01-08,Delta,45
2022-01-08,Omicron,290
2022-01-08,Other variant,1010
2022-01-09,Delta,55
2022-01-09,Omicron,219
2022-01-09,Other variant,1874
2022-01-10,Delta,70
2022-01-10,Omicron,543
2022-01-10,Other variant,2482
2022-01-11,Delta,51
2022-01-11,Omicron,860
2022-01-11,Other variant,2766
2022-01-12,Delta,36
2022-01-12,Omicron,705
2022-01-12,Other variant,2048
2022-01-13,Delta,35
2022-01-13,Omicron,773
2022-01-13,Other variant,1990
2022-01-14,Delta,52
2022-01-14,Omicron,768
2022-01-14,Other variant,2185
2022-01-15,Delta,20
2022-01-15,Omicron,549
2022-01-15,Other variant,1810
2022-01-16,Delta,11
2022-01-16,Omicron,525
2022-01-16,Other variant,1017
2022-01-17,Delta,31
2022-01-17,Omicron,878
2022-01-17,Other variant,1678
2022-01-18,Delta,31
2022-01-18,Omicron,731
2022-01-18,Other variant,2040
2022-01-19,Delta,19
2022-01-19,Omicron,967
2022-01-19,Other variant,1837
2022-01-20,Delta,13
2022-01-20,Omicron,438
2022-01-20,Other variant,1563
2022-01-21,Delta,13
2022-01-21,Omicron,386
2022-01-21,Other variant,1281
2022-01-22,Delta,8
2022-01-22,Omicron,239
2022-01-22,Other variant,762
2022-01-23,Delta,8
2022-01-23,Omicron,245
2022-01-23,Other variant,1543
2022-01-24,Delta,12
2022-01-24,Omicron,801
2022-01-24,Other variant,2576
2022-01-25,Delta,15
2022-01-25,Omicron,673
2022-01-25,Other variant,1581
2022-01-26,Delta,9
2022-01-26,Omicron,438
2022-01-26,Other variant,1526
2022-01-27,Delta,3
2022-01-27,Omicron,409
2022-01-27,Other variant,1709
2022-01-28,Delta,3
2022-01-28,Omicron,324
2022-01-28,Other variant,1389
2022-01-29,Delta,1
2022-01-29,Omicron,137
2022-01-29,Other variant,608
2022-01-30,Delta,8
2022-01-30,Omicron,196
2022-01-30,Other variant,909
2022-01-31,Delta,6
2022-01-31,Omicron,552
2022-01-31,Other variant,2611
2022-02-01,Delta,11
2022-02-01,Omicron,690
2022-02-01,Other variant,2750
2022-02-02,Delta,1
2022-02-02,Omicron,291
2022-02-02,Other variant,2738
2022-02-03,Delta,3
2022-02-03,Omicron,237
2022-02-03,Other variant,1596
2022-02-04,Delta,1
2022-02-04,Omicron,245
2022-02-04,Other variant,874
2022-02-05,Delta,5
2022-02-05,Omicron,123
2022-02-05,Other variant,881
2022-02-06,Omicron,146
2022-02-06,Other variant,985
2022-02-07,Delta,6
2022-02-07,Omicron,377
2022-02-07,Other variant,2854
2022-02-08,Delta,1
2022-02-08,Omicron,624
2022-02-08,Other variant,1758
2022-02-09,Omicron,430
2022-02-09,Other variant,1304
2022-02-10,Delta,1
2022-02-10,Omicron,235
2022-02-10,Other variant,1066
2022-02-11,Delta,50
2022-02-11,Omicron,253
2022-02-11,Other variant,1031
2022-02-12,Delta,1
2022-02-12,Omicron,142
2022-02-12,Other variant,820
2022-02-13,Omicron,112
2022-02-13,Other variant,520
2022-02-14,Delta,55
2022-02-14,Omicron,537
2022-02-14,Other variant,1553
2022-02-15,Omicron,787
2022-02-15,Other variant,627
2022-02-16,Delta,1
2022-02-16,Omicron,206
2022-02-16,Other variant,1306
2022-02-17,Delta,1
2022-02-17,Omicron,385
2022-02-17,Other variant,1159
2022-02-18,Delta,1
2022-02-18,Omicron,527
2022-02-18,Other variant,542
2022-02-19,Omicron,430
2022-02-19,Other variant,172
2022-02-20,Omicron,250
2022-02-20,Other variant,146
2022-02-21,Delta,3
2022-02-21,Omicron,603
2022-02-21,Other variant,249
2022-02-22,Delta,1
2022-02-22,Omicron,677
2022-02-22,Other variant,556
2022-02-23,Omicron,489
2022-02-23,Other variant,569
2022-02-24,Delta,1
2022-02-24,Omicron,427
2022-02-24,Other variant,457
2022-02-25,Omicron,196
2022-02-25,Other variant,304
2022-02-26,Omicron,261
2022-02-26,Other variant,115
2022-02-27,Omicron,185
2022-02-27,Other variant,79
2022-02-28,Omicron,442
2022-02-28,Other variant,383
2022-03-01,Delta,1
2022-03-01,Omicron,349
2022-03-01,Other variant,458
2022-03-02,Delta,2
2022-03-02,Omicron,295
2022-03-02,Other variant,447
2022-03-03,Omicron,121
2022-03-03,Other variant,232
2022-03-04,Omicron,92
2022-03-04,Other variant,199
2022-03-05,Delta,1
2022-03-05,Omicron,103
2022-03-05,Other variant,92
2022-03-06,Omicron,107
2022-03-06,Other variant,71
2022-03-07,Omicron,304
2022-03-07,Other variant,306
2022-03-08,Omicron,386
2022-03-08,Other variant,332
2022-03-09,Omicron,242
2022-03-09,Other variant,346
2022-03-10,Delta,1
2022-03-10,Omicron,211
2022-03-10,Other variant,300
2022-03-11,Omicron,163
2022-03-11,Other variant,208
2022-03-12,Delta,2
2022-03-12,Omicron,57
2022-03-12,Other variant,126
2022-03-13,Omicron,62
2022-03-13,Other variant,168
2022-03-14,Omicron,246
2022-03-14,Other variant,436
2022-03-15,Delta,1
2022-03-15,Omicron,169
2022-03-15,Other variant,980
2022-03-16,Delta,1
2022-03-16,Omicron,172
2022-03-16,Other variant,487
2022-03-17,Omicron,154
2022-03-17,Other variant,358
2022-03-18,Omicron,147
2022-03-18,Other variant,588
2022-03-19,Omicron,79
2022-03-19,Other variant,603
2022-03-20,Omicron,105
2022-03-20,Other variant,645
2022-03-21,Delta,1
2022-03-21,Omicron,198
2022-03-21,Other variant,1300
2022-03-22,Omicron,134
2022-03-22,Other variant,1704
2022-03-23,Omicron,107
2022-03-23,Other variant,1349
2022-03-24,Delta,1
2022-03-24,Omicron,115
2022-03-24,Other variant,738
2022-03-25,Omicron,85
2022-03-25,Other variant,1564
2022-03-26,Omicron,73
2022-03-26,Other variant,1658
2022-03-27,Omicron,70
2022-03-27,Other variant,1804
2022-03-28,Omicron,139
2022-03-28,Other variant,2385
2022-03-29,Omicron,81
2022-03-29,Other variant,474
2022-03-30,Omicron,76
2022-03-30,Other variant,369
2022-03-31,Omicron,70
2022-03-31,Other variant,303
2022-04-01,Omicron,15
2022-04-01,Other variant,54
2022-04-02,Other variant,5
2022-04-03,Other variant,6
2022-04-05,Other variant,2
2022-04-06,Other variant,1
